n_components,explained_var,cumulative_var,marginal_gain
166,0.000736,0.205577,0.000736
167,0.000736,0.206313,0.000736
168,0.000736,0.207048,0.000736
169,0.000736,0.207784,0.000736
170,0.000736,0.208519,0.000736
171,0.000736,0.209255,0.000736
172,0.000736,0.209990,0.000736
173,0.000736,0.210726,0.000736
174,0.000736,0.211461,0.000736
175,0.000736,0.212197,0.000736
176,0.000736,0.212932,0.000736
177,0.000736,0.213668,0.000736
178,0.000736,0.214404,0.000736
179,0.000736,0.215139,0.000736
180,0.000736,0.215875,0.000736
181,0.000736,0.216610,0.000736
182,0.000736,0.217346,0.000736
183,0.000736,0.218081,0.000736
184,0.000736,0.218817,0.000736
185,0.000736,0.219552,0.000736
186,0.000736,0.220288,0.000736
187,0.000736,0.221023,0.000736
188,0.000736,0.221759,0.000736
189,0.000736,0.222494,0.000736
190,0.000736,0.223230,0.000736
191,0.000736,0.223966,0.000736
192,0.000736,0.224701,0.000736
193,0.000736,0.225437,0.000736
194,0.000736,0.226172,0.000736
195,0.000736,0.226908,0.000736
196,0.000736,0.227643,0.000736
197,0.000736,0.228379,0.000736
198,0.000736,0.229114,0.000736
199,0.000736,0.229850,0.000736
200,0.000736,0.230585,0.000736
201,0.000736,0.231321,0.000736
202,0.000736,0.232056,0.000736
203,0.000736,0.232792,0.000736
204,0.000736,0.233528,0.000736
205,0.000736,0.234263,0.000736
206,0.000736,0.234999,0.000736
207,0.000736,0.235734,0.000736
208,0.000736,0.236470,0.000736
209,0.000736,0.237205,0.000736
210,0.000736,0.237941,0.000736
211,0.000736,0.238676,0.000736
212,0.000736,0.239412,0.000736
213,0.000736,0.240147,0.000736
214,0.000736,0.240883,0.000736
215,0.000736,0.241618,0.000736
216,0.000736,0.242354,0.000736
217,0.000736,0.243090,0.000736
218,0.000736,0.243825,0.000736
219,0.000736,0.244561,0.000736
220,0.000736,0.245296,0.000736
221,0.000736,0.246032,0.000736
222,0.000736,0.246767,0.000736
223,0.000736,0.247503,0.000736
224,0.000736,0.248238,0.000736
225,0.000736,0.248974,0.000736
226,0.000736,0.249709,0.000736
227,0.000736,0.250445,0.000736
228,0.000736,0.251181,0.000736
229,0.000736,0.251916,0.000736
230,0.000736,0.252652,0.000736
231,0.000736,0.253387,0.000736
232,0.000736,0.254123,0.000736
233,0.000736,0.254858,0.000736
234,0.000736,0.255594,0.000736
235,0.000736,0.256329,0.000736
