image_id,exact_match,relation_match,colour_overlap,size_overlap,object_overlap,total_attribute_overlap,gold_parse_ok,pred_parse_ok,semantic_match
3180,0,1,2,1,1,4,1,1,0
9867,0,0,2,2,2,6,1,1,1
2373,0,0,2,1,2,5,1,1,1
738,1,1,2,2,2,6,1,1,1
7402,0,0,2,0,2,4,1,1,0
950,0,1,1,1,2,4,1,1,0
1870,0,0,2,0,2,4,1,1,0
4095,0,0,2,1,2,5,1,1,0
5076,0,1,2,1,2,5,1,1,0
6481,0,0,2,2,2,6,1,1,1
1512,0,0,1,1,2,4,1,1,0
6224,0,0,2,2,2,6,1,1,1
2151,0,0,2,1,2,5,1,1,0
942,0,0,2,2,2,6,1,1,1
6697,0,0,2,2,2,6,1,1,1
8804,0,1,1,0,2,3,1,1,0
3361,0,0,2,1,1,4,1,1,0
1872,0,1,2,2,1,5,1,1,1
2426,0,0,2,2,2,6,1,1,1
401,0,0,2,1,1,4,1,1,1
5309,0,1,2,1,2,5,1,1,0
4700,0,0,1,1,2,4,1,1,0
9699,0,1,2,2,2,6,1,1,1
2994,0,0,2,1,2,5,1,1,0
7008,0,1,2,1,2,5,1,1,0
7341,0,1,1,1,2,4,1,1,0
36,0,0,2,0,2,4,1,1,0
3690,0,0,2,2,2,6,1,1,1
2896,0,0,1,0,2,3,1,1,0
8765,0,1,2,1,2,5,1,1,0
1356,0,0,2,1,2,5,1,1,1
2367,0,0,2,0,1,3,1,1,0
7130,0,0,2,2,2,6,1,1,1
3302,0,1,2,2,2,6,1,1,1
7030,0,0,2,1,2,5,1,1,1
4071,0,1,2,1,2,5,1,1,0
4562,0,1,2,1,2,5,1,1,0
9564,0,0,2,0,2,4,1,1,0
668,0,1,2,1,1,4,1,1,0
4336,0,1,2,1,2,5,1,1,1
4966,0,0,2,0,1,3,1,1,0
9506,0,0,2,1,2,5,1,1,1
5942,0,1,2,2,2,6,1,1,1
2190,0,1,2,1,1,4,1,1,0
9414,0,1,2,1,1,4,1,1,1
3859,0,1,2,0,2,4,1,1,0
3729,0,1,1,0,2,3,1,1,0
8845,0,0,2,1,2,5,1,1,0
7982,0,0,2,2,2,6,1,1,1
9713,0,0,2,2,2,6,1,1,1
9430,0,0,2,1,2,5,1,1,0
6997,0,1,2,1,2,5,1,1,0
4682,0,1,2,1,2,5,1,1,0
9054,0,1,1,2,2,5,1,1,1
4437,0,1,1,0,2,3,1,1,0
4829,0,1,2,0,2,4,1,1,0
